URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/languages/crh	crh	Crimean Tatar	
http://id.loc.gov/vocabulary/languages/crp	crp	Creoles and Pidgins (Other)	
http://id.loc.gov/vocabulary/languages/csb	csb	Kashubian	
http://id.loc.gov/vocabulary/languages/cus	cus	Cushitic (Other)	
http://id.loc.gov/vocabulary/languages/cze	cze	Czech	
http://id.loc.gov/vocabulary/languages/dak	dak	Dakota	
http://id.loc.gov/vocabulary/languages/dan	dan	Danish	
http://id.loc.gov/vocabulary/languages/dar	dar	Dargwa	
http://id.loc.gov/vocabulary/languages/day	day	Dayak	
http://id.loc.gov/vocabulary/languages/del	del	Delaware	
http://id.loc.gov/vocabulary/languages/den	den	Slavey	
http://id.loc.gov/vocabulary/languages/dgr	dgr	Dogrib	
http://id.loc.gov/vocabulary/languages/din	din	Dinka	
http://id.loc.gov/vocabulary/languages/div	div	Divehi	
http://id.loc.gov/vocabulary/languages/doi	doi	Dogri	
http://id.loc.gov/vocabulary/languages/dra	dra	Dravidian (Other)	
http://id.loc.gov/vocabulary/languages/dsb	dsb	Lower Sorbian	
http://id.loc.gov/vocabulary/languages/dua	dua	Duala	
http://id.loc.gov/vocabulary/languages/dum	dum	Dutch, Middle (ca. 1050-1350)	
http://id.loc.gov/vocabulary/languages/dut	dut	Dutch	
http://id.loc.gov/vocabulary/languages/dyu	dyu	Dyula	
http://id.loc.gov/vocabulary/languages/dzo	dzo	Dzongkha	
http://id.loc.gov/vocabulary/languages/efi	efi	Efik	
http://id.loc.gov/vocabulary/languages/egy	egy	Egyptian	
http://id.loc.gov/vocabulary/languages/eka	eka	Ekajuk	
http://id.loc.gov/vocabulary/languages/elx	elx	Elamite	
http://id.loc.gov/vocabulary/languages/eng	eng	English	
http://id.loc.gov/vocabulary/languages/enm	enm	English, Middle (1100-1500)	
http://id.loc.gov/vocabulary/languages/epo	epo	Esperanto	
http://id.loc.gov/vocabulary/languages/est	est	Estonian	
http://id.loc.gov/vocabulary/languages/ewe	ewe	Ewe	
http://id.loc.gov/vocabulary/languages/ewo	ewo	Ewondo	
http://id.loc.gov/vocabulary/languages/fan	fan	Fang	
http://id.loc.gov/vocabulary/languages/fao	fao	Faroese	
http://id.loc.gov/vocabulary/languages/fat	fat	Fanti	
http://id.loc.gov/vocabulary/languages/fij	fij	Fijian	
http://id.loc.gov/vocabulary/languages/fil	fil	Filipino	
http://id.loc.gov/vocabulary/languages/fin	fin	Finnish	
http://id.loc.gov/vocabulary/languages/fiu	fiu	Finno-Ugrian (Other)	
http://id.loc.gov/vocabulary/languages/fon	fon	Fon	
http://id.loc.gov/vocabulary/languages/fre	fre	French	
http://id.loc.gov/vocabulary/languages/frm	frm	French, Middle (ca. 1300-1600)	
http://id.loc.gov/vocabulary/languages/fro	fro	French, Old (ca. 842-1300)	
http://id.loc.gov/vocabulary/languages/frr	frr	North Frisian	
http://id.loc.gov/vocabulary/languages/frs	frs	East Frisian	
http://id.loc.gov/vocabulary/languages/fry	fry	Frisian	
http://id.loc.gov/vocabulary/languages/ful	ful	Fula	
http://id.loc.gov/vocabulary/languages/fur	fur	Friulian	
http://id.loc.gov/vocabulary/languages/gaa	gaa	Gã	
http://id.loc.gov/vocabulary/languages/gay	gay	Gayo	
http://id.loc.gov/vocabulary/languages/gba	gba	Gbaya	
http://id.loc.gov/vocabulary/languages/gem	gem	Germanic (Other)	
http://id.loc.gov/vocabulary/languages/geo	geo	Georgian	
http://id.loc.gov/vocabulary/languages/ger	ger	German	
http://id.loc.gov/vocabulary/languages/gez	gez	Ethiopic	
http://id.loc.gov/vocabulary/languages/gil	gil	Gilbertese	
http://id.loc.gov/vocabulary/languages/gla	gla	Scottish Gaelic	
http://id.loc.gov/vocabulary/languages/gle	gle	Irish	
http://id.loc.gov/vocabulary/languages/glg	glg	Galician	
http://id.loc.gov/vocabulary/languages/glv	glv	Manx	
http://id.loc.gov/vocabulary/languages/gmh	gmh	German, Middle High (ca. 1050-1500)	
http://id.loc.gov/vocabulary/languages/goh	goh	German, Old High (ca. 750-1050)	
http://id.loc.gov/vocabulary/languages/gon	gon	Gondi	
http://id.loc.gov/vocabulary/languages/gor	gor	Gorontalo	
http://id.loc.gov/vocabulary/languages/got	got	Gothic	
http://id.loc.gov/vocabulary/languages/grb	grb	Grebo	
http://id.loc.gov/vocabulary/languages/grc	grc	Greek, Ancient (to 1453)	
http://id.loc.gov/vocabulary/languages/gre	gre	Greek, Modern (1453- )	
http://id.loc.gov/vocabulary/languages/grn	grn	Guarani	
http://id.loc.gov/vocabulary/languages/gsw	gsw	Swiss German	
http://id.loc.gov/vocabulary/languages/guj	guj	Gujarati	
http://id.loc.gov/vocabulary/languages/gwi	gwi	Gwich'in	
http://id.loc.gov/vocabulary/languages/hai	hai	Haida	
http://id.loc.gov/vocabulary/languages/hat	hat	Haitian French Creole	
http://id.loc.gov/vocabulary/languages/hau	hau	Hausa	
http://id.loc.gov/vocabulary/languages/haw	haw	Hawaiian	
http://id.loc.gov/vocabulary/languages/heb	heb	Hebrew	
http://id.loc.gov/vocabulary/languages/her	her	Herero	
http://id.loc.gov/vocabulary/languages/hil	hil	Hiligaynon	
http://id.loc.gov/vocabulary/languages/him	him	Western Pahari languages	
http://id.loc.gov/vocabulary/languages/hin	hin	Hindi	
http://id.loc.gov/vocabulary/languages/hit	hit	Hittite	
http://id.loc.gov/vocabulary/languages/hmn	hmn	Hmong	
http://id.loc.gov/vocabulary/languages/hmo	hmo	Hiri Motu	
http://id.loc.gov/vocabulary/languages/hrv	hrv	Croatian	
http://id.loc.gov/vocabulary/languages/hsb	hsb	Upper Sorbian	
http://id.loc.gov/vocabulary/languages/hun	hun	Hungarian	
http://id.loc.gov/vocabulary/languages/hup	hup	Hupa	
http://id.loc.gov/vocabulary/languages/iba	iba	Iban	
http://id.loc.gov/vocabulary/languages/ibo	ibo	Igbo	
http://id.loc.gov/vocabulary/languages/ice	ice	Icelandic	
http://id.loc.gov/vocabulary/languages/ido	ido	Ido	
http://id.loc.gov/vocabulary/languages/iii	iii	Sichuan Yi	
http://id.loc.gov/vocabulary/languages/ijo	ijo	Ijo	
http://id.loc.gov/vocabulary/languages/iku	iku	Inuktitut	
http://id.loc.gov/vocabulary/languages/ile	ile	Interlingue	
http://id.loc.gov/vocabulary/languages/ilo	ilo	Iloko	
http://id.loc.gov/vocabulary/languages/ina	ina	Interlingua (International Auxiliary Language Association)	
http://id.loc.gov/vocabulary/languages/inc	inc	Indic (Other)	
http://id.loc.gov/vocabulary/languages/ind	ind	Indonesian	
http://id.loc.gov/vocabulary/languages/ine	ine	Indo-European (Other)	
http://id.loc.gov/vocabulary/languages/inh	inh	Ingush	
http://id.loc.gov/vocabulary/languages/ipk	ipk	Inupiaq	
http://id.loc.gov/vocabulary/languages/ira	ira	Iranian (Other)	
http://id.loc.gov/vocabulary/languages/iro	iro	Iroquoian (Other)	
http://id.loc.gov/vocabulary/languages/ita	ita	Italian	
http://id.loc.gov/vocabulary/languages/jav	jav	Javanese	
http://id.loc.gov/vocabulary/languages/jbo	jbo	Lojban (Artificial language)	
http://id.loc.gov/vocabulary/languages/jpn	jpn	Japanese	
http://id.loc.gov/vocabulary/languages/jpr	jpr	Judeo-Persian	
http://id.loc.gov/vocabulary/languages/jrb	jrb	Judeo-Arabic	
http://id.loc.gov/vocabulary/languages/kaa	kaa	Kara-Kalpak	
http://id.loc.gov/vocabulary/languages/kab	kab	Kabyle	
http://id.loc.gov/vocabulary/languages/kac	kac	Kachin	
http://id.loc.gov/vocabulary/languages/kal	kal	Kalâtdlisut	
http://id.loc.gov/vocabulary/languages/kam	kam	Kamba	
http://id.loc.gov/vocabulary/languages/kan	kan	Kannada	
http://id.loc.gov/vocabulary/languages/kar	kar	Karen languages	
http://id.loc.gov/vocabulary/languages/kas	kas	Kashmiri	
http://id.loc.gov/vocabulary/languages/kau	kau	Kanuri	
http://id.loc.gov/vocabulary/languages/kaw	kaw	Kawi	
http://id.loc.gov/vocabulary/languages/kaz	kaz	Kazakh	
http://id.loc.gov/vocabulary/languages/kbd	kbd	Kabardian	
http://id.loc.gov/vocabulary/languages/kha	kha	Khasi	
http://id.loc.gov/vocabulary/languages/khi	khi	Khoisan (Other)	
http://id.loc.gov/vocabulary/languages/khm	khm	Khmer	
http://id.loc.gov/vocabulary/languages/kho	kho	Khotanese	
http://id.loc.gov/vocabulary/languages/kik	kik	Kikuyu	
http://id.loc.gov/vocabulary/languages/kin	kin	Kinyarwanda	
http://id.loc.gov/vocabulary/languages/kir	kir	Kyrgyz	
http://id.loc.gov/vocabulary/languages/kmb	kmb	Kimbundu	
http://id.loc.gov/vocabulary/languages/kok	kok	Konkani	
http://id.loc.gov/vocabulary/languages/kom	kom	Komi	
http://id.loc.gov/vocabulary/languages/kon	kon	Kongo	
http://id.loc.gov/vocabulary/languages/kor	kor	Korean	
http://id.loc.gov/vocabulary/languages/kos	kos	Kosraean	
